epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,364.152,1.64575,1.4761,1.32066,0.56648,0.58333,0.56145,0.20161,2.33913,1.61013,1.86358,0.00183834,0.00183834,0.00183834
48,368.159,1.664,1.36541,1.26018,0.78951,0.62732,0.60643,0.18393,2.24444,1.62002,1.79905,0.00183144,0.00183144,0.00183144
49,384.976,1.47535,1.39314,1.32221,0.85243,0.66667,0.64935,0.27475,2.22253,1.56087,1.78376,0.00182441,0.00182441,0.00182441
50,402.2,1.45143,1.31058,1.25711,0.65099,0.66667,0.60643,0.20328,2.09492,1.50878,1.75442,0.00181726,0.00181726,0.00181726
51,411.402,1.63547,1.30794,1.30987,0.38725,0.5,0.31037,0.10955,2.46401,2.0585,2.07092,0.00180997,0.00180997,0.00180997
52,416.719,1.57614,1.33205,1.255,0.58821,0.58333,0.55405,0.18703,2.25856,1.75774,1.85472,0.00180256,0.00180256,0.00180256
53,418.932,1.61729,1.32496,1.20997,0.58554,0.66667,0.52911,0.14375,2.31415,1.77531,1.98379,0.00179502,0.00179502,0.00179502
54,440.956,1.6006,1.40332,1.37217,0.19318,0.5,0.16276,0.03006,2.80112,2.31845,2.66253,0.00178736,0.00178736,0.00178736
55,454.163,1.5672,1.45947,1.35546,0.45401,0.5,0.30366,0.06767,2.43699,2.17354,2.09704,0.00177957,0.00177957,0.00177957
56,462.368,1.73836,1.50945,1.32239,0.67079,0.58333,0.45836,0.11819,2.16593,2.07712,1.80616,0.00177166,0.00177166,0.00177166
57,468.488,1.558,1.36515,1.28682,0.79869,0.58333,0.62396,0.22116,2.17607,2.05569,1.77452,0.00176363,0.00176363,0.00176363
58,477.338,1.59842,1.43196,1.29393,0.79186,0.66667,0.65234,0.32327,1.94813,1.80463,1.58852,0.00175548,0.00175548,0.00175548
59,486.108,1.49315,1.21629,1.19285,0.67159,0.75,0.65559,0.18863,2.22572,1.91754,1.83001,0.00174721,0.00174721,0.00174721
60,494.471,1.53337,1.30996,1.26809,0.58903,0.66667,0.63083,0.17094,2.28513,1.93035,1.85845,0.00173883,0.00173883,0.00173883
61,504.661,1.69261,1.41693,1.40107,0.54178,0.59173,0.61268,0.1609,2.16442,1.76525,1.81711,0.00173032,0.00173032,0.00173032
62,519.093,1.56359,1.27827,1.28082,0.5283,0.58333,0.41767,0.14923,2.1866,1.67997,1.79069,0.00172171,0.00172171,0.00172171
63,538.309,1.48814,1.34088,1.3981,0.61517,0.53477,0.60912,0.26443,2.10901,1.48094,1.75293,0.00171298,0.00171298,0.00171298
64,543.118,1.5364,1.15997,1.22575,0.66565,0.66386,0.72158,0.3144,2.25473,1.45724,1.81234,0.00170414,0.00170414,0.00170414
65,551.278,1.52427,1.2737,1.21194,0.77227,0.5668,0.6474,0.27172,2.35666,1.41416,1.89306,0.00169519,0.00169519,0.00169519
66,557.734,1.52332,1.29788,1.29956,0.6614,0.5,0.66625,0.2647,2.36005,1.49697,1.95987,0.00168612,0.00168612,0.00168612
67,577.325,1.54961,1.23635,1.33604,0.81978,0.66667,0.80344,0.32981,1.94329,1.48749,1.61318,0.00167696,0.00167696,0.00167696
68,581.35,1.42064,1.10684,1.14387,0.84018,0.83333,0.85204,0.38344,1.80078,1.40092,1.4684,0.00166768,0.00166768,0.00166768
69,584.073,1.50089,1.12543,1.16742,0.87368,0.83333,0.94841,0.37258,1.88833,1.30759,1.54454,0.0016583,0.0016583,0.0016583
70,586.219,1.45147,1.17363,1.1801,0.69708,0.83333,0.81511,0.24548,2.20685,1.38304,1.87912,0.00164882,0.00164882,0.00164882
71,591.383,1.48546,1.09614,1.15589,0.82272,0.66667,0.79548,0.33116,2.17739,1.30617,1.79018,0.00163924,0.00163924,0.00163924
72,597.613,1.59539,1.17866,1.22399,0.90555,0.75,0.90805,0.38751,1.99322,1.13455,1.63073,0.00162955,0.00162955,0.00162955
73,600.387,1.6178,1.30226,1.31899,0.83675,0.85551,0.8979,0.39127,1.97418,1.15479,1.65553,0.00161977,0.00161977,0.00161977
74,612.563,1.60631,1.18098,1.34463,0.88076,0.83333,0.89667,0.25051,2.09578,1.45649,1.777,0.00160989,0.00160989,0.00160989
75,617.963,1.48972,1.02738,1.20478,0.73651,0.83333,0.8105,0.32248,2.17746,1.252,1.79092,0.00159992,0.00159992,0.00159992
76,620.548,1.59976,1.20193,1.26544,0.8913,0.75,0.89944,0.25789,2.19324,1.43182,1.76361,0.00158985,0.00158985,0.00158985
77,627.174,1.56486,1.16891,1.26282,0.87924,0.75,0.85648,0.29991,2.08644,1.46406,1.71389,0.00157968,0.00157968,0.00157968
78,637.187,1.40922,1.11859,1.27322,0.89123,0.75,0.84678,0.33479,1.92001,1.43751,1.60532,0.00156943,0.00156943,0.00156943
79,654.053,1.33482,1.06628,1.26554,0.81051,0.75,0.80632,0.34046,1.95639,1.34909,1.66264,0.00155909,0.00155909,0.00155909
80,657.52,1.38556,1.06401,1.17719,0.81779,0.74822,0.79348,0.37636,1.98449,1.33367,1.6481,0.00154866,0.00154866,0.00154866
81,663.798,1.45403,1.16771,1.26793,0.81018,0.75,0.76229,0.3069,2.13635,1.39889,1.73285,0.00153815,0.00153815,0.00153815
82,666.554,1.32509,1.02368,1.12999,0.74116,0.75,0.74394,0.31607,2.12105,1.40133,1.71599,0.00152755,0.00152755,0.00152755
